0.1	0.02	9	7.8	0.1	1.90555555555556	15.5444444444444
0.2	0.02	17.9	18.4	0.1	3.23333333333333	18.4888888888889
0.3	0.02	29	28.5	0.1	5.34444444444444	22.4888888888889
0.4	0.02	37.6	36.8	0.1	7.07222222222222	19.9888888888889
0.5	0.02	46.9	45.5	0.1	10.3444444444444	15.5555555555556
0.6	0.02	59.2	56.4	0.1	12.3111111111111	10.8666666666667
0.7	0.02	67	65.9	0.1	14.4111111111111	6.67777777777778
0.8	0.02	76.5	76.7	0.1	14.9555555555556	5.77777777777778
0.9	0.02	86.1	86.5	0.1	16.1111111111111	5
1	0.02	96.3	96.2	0.1	14.5	4.71111111111111
1.1	0.1	114.4	116.4	0.1	13.6777777777778	4.67777777777778
1.2	0.1	116.6	116.4	0.1	11.9666666666667	4.52222222222222
1.3	0.1	132.1	131.1	0.1	9.68888888888889	4.11111111111111
1.4	0.1	136.5	135.8	0.1	8.33333333333333	3.94444444444444
1.5	0.1	146.3	148.1	0.1	5.84444444444444	4.83333333333333
1.6	0.1	154.8	155	0.1	5.04444444444444	3.82222222222222
1.7	0.1	165.3	164.4	0.1	3.77777777777778	3.87777777777778
1.8	0.1	172.9	172.4	0.1	2.91111111111111	4.13333333333333
1.9	0.1	182.6	181.2	0.1	2.15555555555556	3.65555555555556
2	0.1	189.9	189	0.1	1.64444444444444	3.54444444444444
